season,week,game_id,gameday,player_id,player_name,position,team,opponent_team,is_home,spread_line,total_line,implied_team_total,depth_rank,likely_role,snap_pct_last,snap_pct_roll3,snap_pct_season,injury_status,injury_type,n_prior_games,n_prior_games_this_season,projection,low_80,high_80,model_projection,availability_note,game_status,actual_fp,scoring_profile,top_drivers
2026,3,2026_03_NYJ_DET,2026-09-27,00-0039139,Jahmyr Gibbs,RB,DET,NYJ,1,6.5,47.5,27.0,1.0,True,0.83,0.7599999999999999,0.7849999999999999,,,53,2,22.58,12.87,33.01,22.58,,upcoming,,half_ppr,fp_roll=23.4 (+7.7); fp_season_avg=25.7 (+6.5); implied_team_total=27 (+3.7)
2026,3,2026_03_BAL_DAL,2026-09-27,00-0034796,Lamar Jackson,QB,BAL,DAL,0,-3.5,53.5,28.5,1.0,True,1.0,1.0,1.0,,,134,2,22.06,12.34,32.48,22.06,,upcoming,,half_ppr,fp_roll=20.1 (+7.4); fp_season_avg=19.9 (+5.8); depth_rank_filled=1 (+4.5)
2026,3,2026_03_LAC_BUF,2026-09-27,00-0034857,Josh Allen,QB,BUF,LAC,1,7.0,50.5,28.75,1.0,True,1.0,0.6699999999999999,1.0,,,134,2,21.84,12.13,32.27,21.84,,upcoming,,half_ppr,fp_roll=25.5 (+7.0); fp_season_avg=38.2 (+5.3); depth_rank_filled=1 (+4.5)
2026,3,2026_03_KC_MIA,2026-09-27,00-0033873,Patrick Mahomes,QB,KC,MIA,0,-10.5,45.5,28.0,1.0,True,1.0,0.9733333333333333,1.0,Full Participation in Practice,Knee,148,2,21.24,11.52,31.66,21.24,,upcoming,,half_ppr,fp_roll=21.2 (+7.4); fp_season_avg=25.3 (+5.3); depth_rank_filled=1 (+4.5)
2026,3,2026_03_ARI_SF,2026-09-27,00-0037834,Brock Purdy,QB,SF,ARI,1,8.5,47.5,28.0,1.0,True,0.85,0.9500000000000001,0.925,,,70,2,21.09,11.38,31.52,21.09,,upcoming,,half_ppr,fp_roll=18.3 (+6.4); fp_season_avg=24.8 (+5.3); depth_rank_filled=1 (+4.3)
2026,3,2026_03_NYJ_DET,2026-09-27,00-0033106,Jared Goff,QB,DET,NYJ,1,6.5,47.5,27.0,1.0,True,1.0,1.0,1.0,,,166,2,20.86,11.15,31.28,20.86,,upcoming,,half_ppr,fp_roll=20.5 (+7.1); fp_season_avg=23.1 (+5.1); depth_rank_filled=1 (+4.0)
2026,3,2026_03_KC_MIA,2026-09-27,00-0038134,Kenneth Walker III,RB,KC,MIA,0,-10.5,45.5,28.0,1.0,True,0.82,0.64,0.75,,,68,2,20.33,10.61,30.75,20.33,,upcoming,,half_ppr,fp_roll=22.9 (+6.0); fp_season_avg=26.7 (+5.5); implied_team_total=28 (+3.8)
2026,3,2026_03_LV_NO,2026-09-27,00-0040743,Tyler Shough,QB,NO,LV,1,3.0,43.5,23.25,1.0,True,1.0,1.0,1.0,,,19,2,18.58,8.86,29.0,18.58,,upcoming,,half_ppr,fp_roll=22.4 (+4.7); depth_rank_filled=1 (+3.7); fp_season_avg=22.8 (+3.6)
2026,3,2026_03_BAL_DAL,2026-09-27,00-0032764,Derrick Henry,RB,BAL,DAL,0,-3.5,53.5,28.5,1.0,True,0.53,0.5933333333333334,0.535,,,158,2,18.54,8.82,28.96,18.54,,upcoming,,half_ppr,fp_roll=21.2 (+6.9); fp_season_avg=25.5 (+4.1); implied_team_total=28.5 (+3.9)
2026,3,2026_03_BAL_DAL,2026-09-27,00-0033077,Dak Prescott,QB,DAL,BAL,1,-3.5,53.5,25.0,1.0,True,1.0,0.8366666666666666,1.0,,,149,2,18.27,8.56,28.69,18.27,,upcoming,,half_ppr,fp_roll=15 (+4.9); fp_season_avg=22.1 (+3.9); depth_rank_filled=1 (+3.8)
2026,3,2026_03_PHI_CHI,2026-09-28,00-0036389,Jalen Hurts,QB,PHI,CHI,0,-4.5,41.5,23.0,1.0,True,1.0,1.0,1.0,,,103,2,17.29,7.58,27.71,17.29,,upcoming,,half_ppr,fp_roll=13.6 (+4.7); depth_rank_filled=1 (+3.9); fp_season_avg=20.4 (+3.3)
2026,3,2026_03_ATL_GB,2026-09-24,00-0036264,Jordan Love,QB,GB,ATL,1,4.5,43.5,24.0,1.0,True,1.0,0.7866666666666666,1.0,,,102,2,17.22,7.51,27.65,17.22,,played,18.48,half_ppr,fp_roll=11.1 (+4.4); depth_rank_filled=1 (+4.0); fp_season_avg=16.6 (+3.6)
2026,3,2026_03_NYJ_DET,2026-09-27,00-0036963,Amon-Ra St. Brown,WR,DET,NYJ,1,6.5,47.5,27.0,1.0,True,0.95,0.9333333333333332,0.925,,,87,2,16.56,6.84,26.98,16.56,,upcoming,,half_ppr,fp_roll=24.6 (+3.3); fp_season_avg=27.2 (+2.6); implied_team_total=27 (+1.3)
