season,week,game_id,gameday,player_id,player_name,position,team,opponent_team,is_home,spread_line,total_line,implied_team_total,depth_rank,likely_role,snap_pct_last,snap_pct_roll3,snap_pct_season,injury_status,injury_type,n_prior_games,n_prior_games_this_season,projection,low_80,high_80,model_projection,availability_note,game_status,actual_fp,scoring_profile,top_drivers
2026,3,2026_03_NYJ_DET,2026-09-27,00-0039139,Jahmyr Gibbs,RB,DET,NYJ,1,6.5,47.5,27.0,1.0,True,0.83,0.7599999999999999,0.7849999999999999,,,53,2,22.92,12.44,33.88,22.92,,upcoming,,ppr,fp_roll=25.7 (+6.6); fp_season_avg=28.5 (+5.5); team_rush_share=0.794 (+5.4)
2026,3,2026_03_BAL_DAL,2026-09-27,00-0034796,Lamar Jackson,QB,BAL,DAL,0,-3.5,53.5,28.5,1.0,True,1.0,1.0,1.0,,,134,2,22.69,12.21,33.65,22.69,,upcoming,,ppr,fp_roll=20.1 (+7.4); fp_season_avg=19.9 (+5.8); depth_rank_filled=1 (+5.0)
2026,3,2026_03_KC_MIA,2026-09-27,00-0038134,Kenneth Walker III,RB,KC,MIA,0,-10.5,45.5,28.0,1.0,True,0.82,0.64,0.75,,,68,2,22.22,11.74,33.18,22.22,,upcoming,,ppr,fp_roll=25.1 (+6.2); fp_season_avg=29 (+5.1); team_rush_share=0.624 (+4.9)
2026,3,2026_03_KC_MIA,2026-09-27,00-0033873,Patrick Mahomes,QB,KC,MIA,0,-10.5,45.5,28.0,1.0,True,1.0,0.9733333333333333,1.0,Full Participation in Practice,Knee,148,2,21.84,11.36,32.8,21.84,,upcoming,,ppr,fp_roll=21.2 (+6.8); fp_season_avg=25.3 (+5.3); depth_rank_filled=1 (+4.6)
2026,3,2026_03_ARI_SF,2026-09-27,00-0037834,Brock Purdy,QB,SF,ARI,1,8.5,47.5,28.0,1.0,True,0.85,0.9500000000000001,0.925,,,70,2,21.83,11.35,32.79,21.83,,upcoming,,ppr,fp_roll=18.3 (+7.0); fp_season_avg=24.8 (+5.7); depth_rank_filled=1 (+4.5)
2026,3,2026_03_LAC_BUF,2026-09-27,00-0034857,Josh Allen,QB,BUF,LAC,1,7.0,50.5,28.75,1.0,True,1.0,0.6699999999999999,1.0,,,134,2,21.81,11.33,32.77,21.81,,upcoming,,ppr,fp_roll=25.5 (+7.5); fp_season_avg=38.2 (+5.6); depth_rank_filled=1 (+4.8)
2026,3,2026_03_NYJ_DET,2026-09-27,00-0033106,Jared Goff,QB,DET,NYJ,1,6.5,47.5,27.0,1.0,True,1.0,1.0,1.0,,,166,2,20.44,9.96,31.4,20.44,,upcoming,,ppr,fp_roll=20.5 (+6.2); depth_rank_filled=1 (+4.9); fp_season_avg=23.1 (+4.1)
2026,3,2026_03_NYJ_DET,2026-09-27,00-0036963,Amon-Ra St. Brown,WR,DET,NYJ,1,6.5,47.5,27.0,1.0,True,0.95,0.9333333333333332,0.925,,,87,2,20.13,9.66,31.09,20.13,,upcoming,,ppr,fp_roll=29.6 (+3.2); implied_team_total=27 (+2.9); depth_rank_filled=1 (+1.9)
2026,3,2026_03_BAL_DAL,2026-09-27,00-0032764,Derrick Henry,RB,BAL,DAL,0,-3.5,53.5,28.5,1.0,True,0.53,0.5933333333333334,0.535,,,158,2,19.92,9.44,30.88,19.92,,upcoming,,ppr,fp_roll=21.9 (+6.0); fp_season_avg=26.5 (+4.6); team_rush_share=0.706 (+4.2)
2026,3,2026_03_LV_NO,2026-09-27,00-0040743,Tyler Shough,QB,NO,LV,1,3.0,43.5,23.25,1.0,True,1.0,1.0,1.0,,,19,2,19.09,8.61,30.05,19.09,,upcoming,,ppr,fp_roll=22.4 (+5.3); depth_rank_filled=1 (+4.0); fp_season_avg=22.8 (+3.1)
2026,3,2026_03_BAL_DAL,2026-09-27,00-0033077,Dak Prescott,QB,DAL,BAL,1,-3.5,53.5,25.0,1.0,True,1.0,0.8366666666666666,1.0,,,149,2,18.91,8.43,29.86,18.91,,upcoming,,ppr,fp_roll=15 (+4.8); fp_season_avg=22.1 (+4.8); depth_rank_filled=1 (+3.8)
2026,3,2026_03_MIN_TB,2026-09-27,00-0036322,Justin Jefferson,WR,MIN,TB,0,-1.5,42.5,22.0,1.0,True,1.0,0.8933333333333332,0.96,,,96,2,17.98,7.5,28.94,17.98,,upcoming,,ppr,fp_roll=19.4 (+2.0); fp_season_avg=19.9 (+1.6); team_target_share=0.362 (+1.5)
2026,3,2026_03_PHI_CHI,2026-09-28,00-0036389,Jalen Hurts,QB,PHI,CHI,0,-4.5,41.5,23.0,1.0,True,1.0,1.0,1.0,,,103,2,17.43,6.95,28.39,17.43,,upcoming,,ppr,fp_roll=13.6 (+4.9); fp_season_avg=20.4 (+4.6); depth_rank_filled=1 (+3.9)
2026,3,2026_03_ATL_GB,2026-09-24,00-0036264,Jordan Love,QB,GB,ATL,1,4.5,43.5,24.0,1.0,True,1.0,0.7866666666666666,1.0,,,102,2,17.3,6.82,28.26,17.3,,played,18.48,ppr,fp_season_avg=16.6 (+4.1); depth_rank_filled=1 (+3.3); snap_pct_last=1 (+3.1)
2026,3,2026_03_LV_NO,2026-09-27,00-0040122,Ashton Jeanty,RB,LV,NO,0,3.0,43.5,20.25,1.0,True,0.81,0.84,0.775,,,19,2,17.13,6.65,28.08,17.13,,upcoming,,ppr,fp_roll=18.5 (+3.5); fp_season_avg=21.5 (+3.1); team_rush_share=0.743 (+2.2)
2026,3,2026_03_BAL_DAL,2026-09-27,00-0036997,Javonte Williams,RB,DAL,BAL,1,-3.5,53.5,25.0,1.0,True,0.8,0.5933333333333334,0.755,,,73,2,17.04,6.56,28.0,17.04,,upcoming,,ppr,snap_pct_last=0.8 (+3.6); fp_season_avg=16.1 (+3.2); fp_roll=14.5 (+3.0)
2026,3,2026_03_LV_NO,2026-09-27,00-0037239,Chris Olave,WR,NO,LV,1,3.0,43.5,23.25,1.0,True,0.84,0.8700000000000001,0.85,,,62,2,16.96,6.48,27.92,16.96,,upcoming,,ppr,fp_roll=16.9 (+3.7); rec_roll=9 (+2.1); snap_pct_roll3=0.87 (+1.2)
2026,3,2026_03_SEA_WAS,2026-09-27,00-0038543,Jaxon Smith-Njigba,WR,SEA,WAS,0,-7.5,40.5,24.0,1.0,True,0.67,0.7999999999999999,0.785,,,53,2,16.42,5.94,27.38,16.42,,upcoming,,ppr,fp_roll=27.7 (+3.4); depth_rank_filled=1 (+1.4); team_target_share=0.396 (+1.2)
2026,3,2026_03_CIN_PIT,2026-09-27,00-0036442,Joe Burrow,QB,CIN,PIT,0,-3.5,42.5,23.0,1.0,True,1.0,0.9966666666666667,1.0,,,80,2,16.15,5.67,27.1,16.15,,upcoming,,ppr,fp_roll=17.2 (+3.8); depth_rank_filled=1 (+2.9); snap_pct_last=1 (+2.6)
2026,3,2026_03_NE_JAX,2026-09-27,00-0036971,Trevor Lawrence,QB,JAX,NE,1,3.0,46.5,24.75,1.0,True,1.0,0.8999999999999999,0.94,,,82,2,16.13,5.65,27.09,16.13,,upcoming,,ppr,depth_rank_filled=1 (+3.5); fp_roll=18.5 (+3.3); fp_season_avg=16.1 (+2.0)
2026,3,2026_03_HOU_IND,2026-09-27,00-0039163,C.J. Stroud,QB,HOU,IND,0,-1.5,42.5,22.0,1.0,True,1.0,0.8833333333333333,1.0,,,53,2,16.08,5.6,27.04,16.08,,upcoming,,ppr,fp_roll=16.9 (+3.3); depth_rank_filled=1 (+2.8); snap_pct_last=1 (+2.1)
2026,3,2026_03_NE_JAX,2026-09-27,00-0038606,Parker Washington,WR,JAX,NE,1,3.0,46.5,24.75,1.0,True,0.81,0.7200000000000001,0.71,,,48,2,16.06,5.58,27.02,16.06,,upcoming,,ppr,fp_roll=18.6 (+2.7); fp_season_avg=18.1 (+2.3); team_target_share=0.34 (+0.9)
2026,3,2026_03_ATL_GB,2026-09-24,00-0038542,Bijan Robinson,RB,ATL,GB,0,4.5,43.5,19.5,1.0,True,0.51,0.7066666666666667,0.64,,,53,2,15.87,5.39,26.83,15.87,,played,35.3,ppr,fp_roll=16.6 (+2.1); fp_season_avg=21.2 (+1.6); team_rush_share=0.592 (+1.6)
2026,3,2026_03_KC_MIA,2026-09-27,00-0030506,Travis Kelce,TE,KC,MIA,0,-10.5,45.5,28.0,1.0,True,0.85,0.7866666666666666,0.78,,,167,2,15.63,5.15,26.59,15.63,,upcoming,,ppr,fp_season_avg=17.6 (+4.0); implied_team_total=28 (+3.1); fp_roll=13.1 (+3.0)
